aX,aY,aZ,gX,gY,gZ
-0.519,-0.987,-2.952,440.979,11.841,-80.994
-0.455,-0.904,-2.541,508.484,32.471,-102.661
-0.330,-0.896,-2.025,555.725,31.555,-120.056
-0.248,-0.873,-1.524,574.768,6.836,-132.019
-0.229,-0.826,-1.144,569.214,-41.992,-136.719
-0.269,-0.773,-1.004,555.359,-106.384,-138.428
-0.362,-0.753,-1.006,538.391,-168.579,-136.719
-0.339,-0.669,-1.055,515.625,-206.238,-128.662
-0.268,-0.450,-1.111,501.831,-200.134,-120.300
-0.208,-0.302,-1.117,506.226,-154.785,-119.141
-0.164,-0.309,-1.009,518.250,-97.107,-122.986
-0.101,-0.418,-0.764,531.372,-55.603,-129.822
-0.094,-0.508,-0.480,541.687,-42.847,-144.226
-0.145,-0.598,-0.170,536.865,-58.899,-164.917
-0.185,-0.663,0.071,514.465,-94.360,-186.218
-0.241,-0.724,0.274,480.408,-134.277,-204.651
-0.237,-0.818,0.384,448.303,-167.114,-215.576
-0.161,-0.849,0.423,423.584,-184.937,-219.055
-0.068,-0.873,0.495,398.682,-185.303,-215.820
0.015,-0.929,0.579,376.526,-177.979,-203.003
0.069,-0.901,0.626,364.319,-172.852,-180.847
0.063,-0.868,0.712,354.004,-170.654,-156.738
0.048,-0.894,0.816,344.849,-167.542,-128.113
-0.016,-0.944,0.951,338.318,-155.640,-96.191
-0.134,-1.037,1.083,330.627,-132.019,-66.284
-0.254,-1.209,1.330,321.472,-103.882,-43.579
-0.368,-1.378,1.710,312.195,-78.003,-29.724
-0.494,-1.555,2.186,293.640,-59.937,-24.841
-0.565,-1.751,2.711,257.751,-49.438,-29.358
-0.574,-1.773,3.031,201.050,-39.978,-30.273
-0.653,-1.804,3.275,128.174,-34.851,-28.687
-0.601,-1.820,3.314,59.082,-29.785,-30.396
-0.376,-1.677,3.187,3.723,-15.015,-35.828
-0.090,-1.367,2.901,-45.654,8.484,-43.762
0.207,-1.002,2.490,-95.886,33.508,-44.128
0.420,-0.611,1.944,-140.869,49.011,-34.241
0.530,-0.266,1.351,-178.101,51.697,-15.381
0.537,-0.042,0.775,-207.275,53.101,6.348
0.511,0.058,0.345,-224.487,64.697,30.884
0.547,0.145,0.075,-221.619,85.266,55.115
0.539,0.210,0.012,-197.144,100.525,72.815
0.453,0.186,0.146,-161.377,106.262,87.158
0.378,0.084,0.405,-123.535,106.750,100.891
0.286,-0.029,0.725,-90.088,101.929,107.361
0.208,-0.169,1.094,-68.054,92.529,106.018
0.196,-0.314,1.502,-64.026,84.290,101.074
0.190,-0.412,1.880,-77.820,77.148,95.825
0.200,-0.459,2.115,-104.858,70.801,92.346
0.198,-0.485,2.214,-149.170,66.223,92.590
0.190,-0.542,2.120,-205.994,67.566,98.938
0.162,-0.611,1.879,-265.808,77.759,106.995
0.107,-0.665,1.603,-318.787,92.346,112.854
